INDEX,FULLTIME,VALUE,Project,Phase,Network,Mode,Latitude,Longitude,UNIQUE_ID,KPI
43,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9190421,106.9158069,6_Feb_2026_Complaint_Sales_Area_Sukabumi_43,ECI
61,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9191435,106.9161698,6_Feb_2026_Complaint_Sales_Area_Sukabumi_61,ECI
68,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9191739,106.9163145,6_Feb_2026_Complaint_Sales_Area_Sukabumi_68,ECI
83,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9191824,106.9164508,6_Feb_2026_Complaint_Sales_Area_Sukabumi_83,ECI
90,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192016,106.9165148,6_Feb_2026_Complaint_Sales_Area_Sukabumi_90,ECI
101,1.77036E+12,392068 / 61,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.919243,106.9166441,6_Feb_2026_Complaint_Sales_Area_Sukabumi_101,ECI
108,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192527,106.9167454,6_Feb_2026_Complaint_Sales_Area_Sukabumi_108,ECI
111,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192544,106.9167757,6_Feb_2026_Complaint_Sales_Area_Sukabumi_111,ECI
113,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192594,106.9168034,6_Feb_2026_Complaint_Sales_Area_Sukabumi_113,ECI
115,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192639,106.9168322,6_Feb_2026_Complaint_Sales_Area_Sukabumi_115,ECI
117,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.919268,106.9168664,6_Feb_2026_Complaint_Sales_Area_Sukabumi_117,ECI
119,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192709,106.9168986,6_Feb_2026_Complaint_Sales_Area_Sukabumi_119,ECI
121,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192731,106.9169359,6_Feb_2026_Complaint_Sales_Area_Sukabumi_121,ECI
123,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192766,106.9169753,6_Feb_2026_Complaint_Sales_Area_Sukabumi_123,ECI
125,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192806,106.9170134,6_Feb_2026_Complaint_Sales_Area_Sukabumi_125,ECI
127,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192839,106.9170484,6_Feb_2026_Complaint_Sales_Area_Sukabumi_127,ECI
129,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192846,106.9170833,6_Feb_2026_Complaint_Sales_Area_Sukabumi_129,ECI
131,1.77036E+12,391819 / 63,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192893,106.9171402,6_Feb_2026_Complaint_Sales_Area_Sukabumi_131,ECI
133,1.77036E+12,391891 / 21,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9192921,106.9171654,6_Feb_2026_Complaint_Sales_Area_Sukabumi_133,ECI
136,1.77036E+12,391891 / 21,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193008,106.9172172,6_Feb_2026_Complaint_Sales_Area_Sukabumi_136,ECI
138,1.77036E+12,391891 / 21,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193084,106.9172586,6_Feb_2026_Complaint_Sales_Area_Sukabumi_138,ECI
140,1.77036E+12,391891 / 21,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193168,106.9173043,6_Feb_2026_Complaint_Sales_Area_Sukabumi_140,ECI
142,1.77036E+12,391891 / 21,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193265,106.9173504,6_Feb_2026_Complaint_Sales_Area_Sukabumi_142,ECI
145,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193343,106.9173956,6_Feb_2026_Complaint_Sales_Area_Sukabumi_145,ECI
147,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.91934,106.9174372,6_Feb_2026_Complaint_Sales_Area_Sukabumi_147,ECI
149,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193427,106.9174717,6_Feb_2026_Complaint_Sales_Area_Sukabumi_149,ECI
150,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193434,106.9174978,6_Feb_2026_Complaint_Sales_Area_Sukabumi_150,ECI
151,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193449,106.9175167,6_Feb_2026_Complaint_Sales_Area_Sukabumi_151,ECI
153,1.77036E+12,391819 / 23,6_Feb_2026_Complaint_Sales_Area_Sukabumi,-,-,IDLE,-6.9193454,106.91753,6_Feb_2026_Complaint_Sales_Area_Sukabumi_153,ECI
